playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,20,0.10000000149011612,0.7,0.35,0.4666666666666667,7,3,389,13,1
Riddim - Deep Dub,7,0.10000000149011612,0.16666666666666666,0.14285714285714285,0.15384615384615383,1,5,400,6,1
Riddim - Vocals,29,0.05000000074505806,0.09961685823754789,0.896551724137931,0.1793103448275862,26,235,148,3,1
Riddim - Chill,44,0.1599999964237213,0.14814814814814814,0.18181818181818182,0.16326530612244897,8,46,322,36,1
Riddim - GWN/BT Style,19,0.07000000029802322,0.14516129032258066,0.47368421052631576,0.2222222222222222,9,53,340,10,1
Riddim - Wubz,23,0.07000000029802322,0.2692307692307692,0.30434782608695654,0.28571428571428575,7,19,370,16,1
Riddim - Medium,102,0.18000000715255737,0.37438423645320196,0.7450980392156863,0.49836065573770494,76,127,183,26,1
Riddim - Womps,46,0.12999999523162842,0.2289156626506024,0.41304347826086957,0.2945736434108527,19,64,302,27,1
Riddim - Heavy,29,0.07999999821186066,0.23076923076923078,0.6206896551724138,0.33644859813084116,18,60,323,11,1
Riddim - 4s,20,0.05999999865889549,0.16393442622950818,0.5,0.24691358024691357,10,51,341,10,1
Riddim - 8s,7,0.5,0.0,0.0,0.0,0,0,405,7,1
Clubstep,6,0.5,0.0,0.0,0.0,0,0,406,6,1
Deadly Dubstep,27,0.05999999865889549,0.14285714285714285,0.7407407407407407,0.23952095808383236,20,120,265,7,1
Dubstep,71,0.20000000298023224,0.20901639344262296,0.7183098591549296,0.3238095238095238,51,193,148,20,1
Funkstep,35,0.1599999964237213,0.21951219512195122,0.2571428571428571,0.2368421052631579,9,32,345,26,1
Headbanger,54,0.23999999463558197,0.3333333333333333,0.3148148148148148,0.32380952380952377,17,34,324,37,1
Jazzstep,25,0.12999999523162842,0.1276595744680851,0.48,0.20168067226890754,12,82,305,13,1
Metalstep,27,0.05000000074505806,0.0967741935483871,0.2222222222222222,0.1348314606741573,6,56,329,21,1
Wubzstep,110,0.20999999344348907,0.3717948717948718,0.7909090909090909,0.505813953488372,87,147,155,23,1
Riddim - High Hat,18,0.3400000035762787,1.0,0.05555555555555555,0.10526315789473684,1,0,393,17,2
Riddim - Deep Dub,16,0.10999999940395355,0.3333333333333333,0.0625,0.10526315789473684,1,2,393,15,2
Riddim - Vocals,29,0.11999999731779099,0.11764705882352941,0.06896551724137931,0.08695652173913043,2,15,367,27,2
Riddim - Chill,47,0.1599999964237213,0.2916666666666667,0.2978723404255319,0.29473684210526313,14,34,330,33,2
Riddim - GWN/BT Style,23,0.07000000029802322,0.13513513513513514,0.21739130434782608,0.16666666666666666,5,32,356,18,2
Riddim - Wubz,20,0.10000000149011612,0.0,0.0,0.0,0,5,386,20,2
Riddim - Medium,97,0.20000000298023224,0.336322869955157,0.7731958762886598,0.46875000000000006,75,148,166,22,2
Riddim - Womps,45,0.20999999344348907,0.3076923076923077,0.08888888888888889,0.13793103448275862,4,9,357,41,2
Riddim - Heavy,26,0.10000000149011612,0.3235294117647059,0.4230769230769231,0.3666666666666667,11,23,362,15,2
Riddim - 4s,19,0.10000000149011612,0.23076923076923078,0.15789473684210525,0.18749999999999997,3,10,382,16,2
Riddim - 8s,3,0.5,0.0,0.0,0.0,0,0,408,3,2
Clubstep,9,0.5,0.0,0.0,0.0,0,0,402,9,2
Deadly Dubstep,27,0.07999999821186066,0.23809523809523808,0.7407407407407407,0.36036036036036034,20,64,320,7,2
