playlist,support,threshold,precision,recall,f1,tp,fp,tn,fn,fold
Riddim - High Hat,7,0.5,0.625,0.7142857142857143,0.6666666666666666,5,3,123,2,validation
Riddim - Deep Dub,5,0.5,0.16666666666666666,0.2,0.1818181818181818,1,5,123,4,validation
Riddim - Vocals,2,0.5,0.0,0.0,0.0,0,0,131,2,validation
Riddim - Chill,12,0.5,1.0,0.08333333333333333,0.15384615384615385,1,0,121,11,validation
Riddim - GWN/BT Style,7,0.5,1.0,0.2857142857142857,0.4444444444444445,2,0,126,5,validation
Riddim - Wubz,7,0.5,1.0,0.14285714285714285,0.25,1,0,126,6,validation
Riddim - Medium,26,0.5,0.0,0.0,0.0,0,0,107,26,validation
Riddim - Womps,13,0.5,0.0,0.0,0.0,0,0,120,13,validation
Riddim - Heavy,7,0.5,1.0,0.14285714285714285,0.25,1,0,126,6,validation
Riddim - 4s,4,0.5,0.0,0.0,0.0,0,0,129,4,validation
Riddim - 8s,2,0.5,0.0,0.0,0.0,0,0,131,2,validation
Clubstep,3,0.5,0.0,0.0,0.0,0,0,130,3,validation
Deadly Dubstep,3,0.5,1.0,0.3333333333333333,0.5,1,0,130,2,validation
Dubstep,26,0.5,0.0,0.0,0.0,0,0,107,26,validation
Funkstep,7,0.5,0.0,0.0,0.0,0,3,123,7,validation
Headbanger,11,0.5,1.0,0.09090909090909091,0.16666666666666669,1,0,122,10,validation
Jazzstep,13,0.5,0.0,0.0,0.0,0,0,120,13,validation
Metalstep,6,0.5,1.0,0.16666666666666666,0.2857142857142857,1,0,127,5,validation
Wubzstep,44,0.5,0.5194805194805194,0.9090909090909091,0.6611570247933884,40,37,52,4,validation
Riddim - High Hat,9,0.5,0.45454545454545453,0.5555555555555556,0.5,5,6,119,4,test
Riddim - Deep Dub,7,0.5,1.0,0.2857142857142857,0.4444444444444445,2,0,127,5,test
Riddim - Vocals,16,0.5,0.0,0.0,0.0,0,0,118,16,test
Riddim - Chill,16,0.5,0.0,0.0,0.0,0,0,118,16,test
Riddim - GWN/BT Style,8,0.5,0.0,0.0,0.0,0,0,126,8,test
Riddim - Wubz,8,0.5,0.0,0.0,0.0,0,0,126,8,test
Riddim - Medium,32,0.5,1.0,0.03125,0.06060606060606061,1,0,102,31,test
Riddim - Womps,19,0.5,0.0,0.0,0.0,0,0,115,19,test
Riddim - Heavy,7,0.5,1.0,0.14285714285714285,0.25,1,0,127,6,test
Riddim - 4s,8,0.5,0.0,0.0,0.0,0,0,126,8,test
Riddim - 8s,4,0.5,0.0,0.0,0.0,0,0,130,4,test
Clubstep,2,0.5,0.0,0.0,0.0,0,0,132,2,test
Deadly Dubstep,10,0.5,0.0,0.0,0.0,0,1,123,10,test
Dubstep,31,0.5,1.0,0.03225806451612903,0.0625,1,0,103,30,test
Funkstep,15,0.5,0.3333333333333333,0.06666666666666667,0.1111111111111111,1,2,117,14,test
Headbanger,19,0.5,0.75,0.15789473684210525,0.2608695652173913,3,1,114,16,test
Jazzstep,13,0.5,0.0,0.0,0.0,0,0,121,13,test
Metalstep,7,0.5,1.0,0.2857142857142857,0.4444444444444445,2,0,127,5,test
Wubzstep,26,0.5,0.2698412698412698,0.6538461538461539,0.3820224719101123,17,46,62,9,test
